,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
291,0.0,0.0,-1.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-2.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
292,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-3.0,0.0,0.0,3.0,1.0,-2.0,1.0,-1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2.0,-3.0
293,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,2.0,-1.0,1.0,1.0,-1.0,0.0,3.0,-2.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,2.0,-1.0,-2.0
294,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-2.0,1.0,0.0,0.0,2.0,-1.0,-1.0,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
296,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,2.0,-2.0,2.0,1.0,0.0,-2.0,4.0,1.0,-6.0,-1.0,-1.0,2.0,-3.0,2.0,-2.0,0.0,1.0
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,-2.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0,1.0,0.0,-2.0,0.0,0.0
311,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,2.0,1.0,0.0,0.0,2.0
312,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,-3.0,-2.0,-1.0,-1.0,-2.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.0,1.0,3.0,7.0,0.0
313,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-2.0,2.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,2.0,0.0,0.0,1.0,-2.0,1.0,2.0,0.0,-1.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
318,0.0,-1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,4.0,1.0,0.0,3.0,-2.0,-1.0,-3.0,-2.0,-3.0,-1.0,-3.0,1.0,-1.0,-2.0,0.0
319,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0
321,0.0,1.0,-1.0,1.0,-1.0,0.0,-5.0,-4.0,-5.0,0.0,4.0,0.0,0.0,4.0,5.0,-1.0,0.0,-1.0,1.0,0.0,-3.0,1.0,2.0,0.0
322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,-1.0,0.0,3.0,2.0,0.0,0.0,0.0,4.0,-1.0,2.0,-2.0,1.0,-1.0,-1.0
324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0
325,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
326,3.0,2.0,0.0,1.0,0.0,0.0,-3.0,-3.0,-13.0,0.0,1.0,-7.0,-1.0,-1.0,1.0,1.0,7.0,13.0,-6.0,2.0,-2.0,0.0,2.0,3.0
331,-4.0,-3.0,1.0,-1.0,-1.0,-7.0,-15.0,-14.0,-3.0,-4.0,2.0,-3.0,2.0,1.0,1.0,1.0,8.0,9.0,5.0,2.0,-3.0,11.0,1.0,15.0
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,-1.0,0.0
338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
340,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,0.0,2.0,3.0,-1.0,0.0,-3.0,0.0,1.0,5.0,-1.0,-1.0,0.0
364,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-1.0
367,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,-3.0,0.0,1.0,0.0,-2.0,-2.0,4.0
